nom_alcaldia,nom_colonia,pob_colonia,pobreza_pct_promedio,pct_excede_nom_local,fugas_por_10k_hab_total,tasa_morbilidad_estimada_por_100k,IVH
MILPA ALTA,SAN BARTOLOME XICOMULCO (PBLO),5375,53.44,71.4,511.63,22351.34,0.88
MILPA ALTA,SAN FRANCISCO TECOXPA (PBLO),5866,53.44,77.8,207.98,22351.34,0.86
XOCHIMILCO,SAN LORENZO,937,46.88,59.5,14247.6,15953.95,0.86
MILPA ALTA,VILLA MILPA ALTA (PBLO),22891,53.44,77.8,159.45,22351.34,0.86
MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),32538,53.44,77.8,144.14,22351.34,0.86
MILPA ALTA,SAN JERONIMO MIACATLAN (PBLO),3778,53.44,77.8,97.94,22351.34,0.85
MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),16837,53.44,71.4,111.66,22351.34,0.84
MILPA ALTA,SAN PEDRO ATOCPAN (PBLO),14402,53.44,71.4,86.79,22351.34,0.84
MILPA ALTA,SAN AGUSTIN OHTENCO (PBLO),1595,53.44,77.8,62.7,22351.34,0.84
XOCHIMILCO,NATIVITAS,2187,46.88,77.8,2624.6,15953.95,0.84
MILPA ALTA,SAN PABLO OZTOTEPEC (PBLO),20355,53.44,71.4,70.25,22351.34,0.83
MILPA ALTA,SAN JUAN TEPENAHUAC (PBLO),2513,53.44,77.8,47.75,22351.34,0.83
MILPA ALTA,SANTA ANA TLACOTENCO (PBLO),12412,53.44,77.8,40.28,22351.34,0.83
MILPA ALTA,SAN LORENZO TLACOYUCAN (PBLO),5414,53.44,77.8,35.09,22351.34,0.82
XOCHIMILCO,SAN BARTOLO EL CHICO,440,46.88,59.5,2386.36,15953.95,0.82
XOCHIMILCO,LA NORIA,1241,46.88,59.5,2038.68,15953.95,0.81
XOCHIMILCO,XALTOCAN (BARR),10717,46.88,100.0,579.45,15953.95,0.81
XOCHIMILCO,LA GUADALUPITA (BARR),661,46.88,59.5,1527.99,15953.95,0.81
XOCHIMILCO,EL ROSARIO (BARR),625,46.88,59.5,1440.0,15953.95,0.81
XOCHIMILCO,SANTA CRUCITA (BARR),382,46.88,59.5,1361.26,15953.95,0.81
