id_planta,nombre,capacidad_lps,pob_atendida,n_colonias,contaminantes_no_tratados_riesgo
PLANTA_006,Tlacotal,60.0,1844338,393,"Arsénico, Plomo"
PLANTA_044,R-11,40.0,1789265,417,"Arsénico, Plomo"
PLANTA_030,Agrícola Oriental,240.0,1559130,253,"Arsénico, Plomo"
PLANTA_000,Trabajadores del Hierro,50.0,1364717,337,"Arsénico, Plomo"
PLANTA_005,Parque Vía Vallejo,40.0,1058620,208,"Arsénico, Plomo"
PLANTA_037,Balbuena 2,40.0,889171,138,"Arsénico, Plomo"
PLANTA_033,Santa Catarina,500.0,704703,91,"Arsénico, Plomo"
PLANTA_007,Viga 4,60.0,0,0,"Arsénico, Plomo"
PLANTA_008,Ciudad Deportiva 2,100.0,0,0,"Arsénico, Plomo"
PLANTA_004,La Libertad,50.0,0,0,"Arsénico, Plomo"
PLANTA_003,Panamericana,50.0,0,0,"Arsénico, Plomo"
PLANTA_001,Deportivo Ferrería,50.0,0,0,"Arsénico, Plomo"
PLANTA_002,Jardines del Pedregal 5,80.0,0,0,"Arsénico, Plomo"
PLANTA_012,Iztapalapa 1,60.0,0,0,"Arsénico, Plomo"
PLANTA_011,Granjas San Antonio,60.0,0,0,"Arsénico, Plomo"
PLANTA_010,Cerro de La Estrella 2,60.0,0,0,"Arsénico, Plomo"
PLANTA_009,Carlos L. Gracidas,38.0,0,0,"Arsénico, Plomo"
PLANTA_013,Iztapalapa 2,60.0,0,0,"Arsénico, Plomo"
PLANTA_014,La Caldera,700.0,0,0,"Arsénico, Plomo"
PLANTA_015,Purísima 2,60.0,0,0,"Arsénico, Plomo"
PLANTA_016,Purísima 3 Y 7,135.0,0,0,"Arsénico, Plomo"
PLANTA_021,Xaltepec,500.0,0,0,"Arsénico, Plomo"
PLANTA_022,Santa Catarina 10,60.0,0,0,"Arsénico, Plomo"
PLANTA_023,Santa Catarina 13,60.0,0,0,"Arsénico, Plomo"
PLANTA_024,San Lorenzo Tezonco,6.0,0,0,"Arsénico, Plomo"
PLANTA_017,Santa Catarina 11,40.0,0,0,"Arsénico, Plomo"
PLANTA_018,Santa Cruz Meyehualco,120.0,0,0,"Arsénico, Plomo"
PLANTA_019,Viga 2,40.0,0,0,"Arsénico, Plomo"
PLANTA_020,Panteón Civil,180.0,0,0,"Arsénico, Plomo"
PLANTA_028,Auxiliar Xotepingo 4C,50.0,0,0,"Arsénico, Plomo"
PLANTA_027,Tecomitl 2,60.0,0,0,"Arsénico, Plomo"
PLANTA_026,Peñón 2,50.0,0,0,"Arsénico, Plomo"
PLANTA_025,"San Lorenzo Tezonco
Nuevo",60.0,0,0,"Arsénico, Plomo"
PLANTA_032,Río Magdalena 2,200.0,0,0,"Arsénico, Plomo"
PLANTA_034,Santa Catarina 4,60.0,0,0,"Arsénico, Plomo"
PLANTA_031,Río Magdalena,210.0,0,0,"Arsénico, Plomo"
PLANTA_029,Parque Las Antenas,30.0,0,0,"Arsénico, Plomo"
PLANTA_036,Tecomitl 18,50.0,0,0,"Arsénico, Plomo"
PLANTA_035,"Acueducto Tláhuac-La
Caldera",40.0,0,0,"Arsénico, Plomo"
PLANTA_039,Santa Anita,40.0,0,0,"Arsénico, Plomo"
PLANTA_038,Peñón de Los Baños,50.0,0,0,"Arsénico, Plomo"
PLANTA_040,Escudo Nacional 2,40.0,0,0,"Arsénico, Plomo"
PLANTA_041,S-13,40.0,0,0,"Arsénico, Plomo"
PLANTA_042,Cerillos 2,40.0,0,0,"Arsénico, Plomo"
PLANTA_043,Cerillos 3,40.0,0,0,"Arsénico, Plomo"
