nom_alcaldia,nom_colonia,pob_colonia,tasa_morbilidad_estimada_por_100k,casos_morbilidad_estimados,pobreza_pct_promedio,IVH,pct_pob_afectada
MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),32538,22351.34,7272.7,53.44,0.86,22.35
MILPA ALTA,VILLA MILPA ALTA (PBLO),22891,22351.34,5116.4,53.44,0.86,22.35
XOCHIMILCO,SAN GREGORIO ATLAPULCO (PBLO),31758,15953.95,5066.7,46.88,0.76,15.95
MILPA ALTA,SAN PABLO OZTOTEPEC (PBLO),20355,22351.34,4549.6,53.44,0.83,22.35
XOCHIMILCO,SANTA CRUZ ACALPIXCA (PBLO),25353,15953.95,4044.8,46.88,0.79,15.95
MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),16837,22351.34,3763.3,53.44,0.84,22.35
XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),22570,15953.95,3600.8,46.88,0.8,15.95
MILPA ALTA,SAN PEDRO ATOCPAN (PBLO),14402,22351.34,3219.0,53.44,0.84,22.35
XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),18025,15953.95,2875.7,46.88,0.78,15.95
MILPA ALTA,SANTA ANA TLACOTENCO (PBLO),12412,22351.34,2774.2,53.44,0.83,22.35
XOCHIMILCO,SANTIAGO TEPALCATLALPAN (PBLO),17248,15953.95,2751.7,46.88,0.78,15.95
XOCHIMILCO,SAN MARCOS (AMPL),17209,15953.95,2745.5,46.88,0.79,15.95
TLALPAN,SAN MIGUEL TOPILEJO (PBLO),28008,9300.26,2604.8,38.69,0.68,9.3
XOCHIMILCO,NATIVITAS LA JOYA (AMPL),16013,15953.95,2554.7,46.88,0.72,15.95
TLALPAN,SAN ANDRES TOTOLTEPEC (PBLO),27347,9300.26,2543.3,38.69,0.7,9.3
XOCHIMILCO,SAN LUIS TLAXIALTEMALCO (PBLO),15418,15953.95,2459.8,46.88,0.7,15.95
XOCHIMILCO,SAN ANDRES AHUAYUCAN (PBLO),15226,15953.95,2429.1,46.88,0.76,15.95
XOCHIMILCO,SANTA CRUZ XOCHITEPEC (PBLO),14451,15953.95,2305.5,46.88,0.77,15.95
XOCHIMILCO,SANTA MARIA TEPEPAN (PBLO),14016,15953.95,2236.1,46.88,0.79,15.95
XOCHIMILCO,SANTA CECILIA TEPETLAPA (PBLO),13438,15953.95,2143.9,46.88,0.78,15.95
