grupo,edad_media,ancho,casos,pob_grupo,tasa_por_100k,casos_con_secuela,avpp
<1 año,0.5,1,9631,110173.66666666667,8741.7,482.0,36150.0
1-4 años,2.5,4,26889,440694.6666666667,6101.5,1344.0,98112.0
5-9,7.0,5,21175,550868.3333333334,3843.9,1059.0,72542.0
10-14,12.0,5,15010,550868.3333333334,2724.8,750.0,47625.0
15-19,17.0,5,11342,652497.7,1738.2,113.0,6610.0
20-24,22.0,5,18671,652497.7,2861.5,187.0,10004.0
25-44,35.0,20,54289,2609990.8,2080.0,543.0,21992.0
45-49,47.0,5,13741,652497.7,2105.9,137.0,3904.0
50-59,55.0,10,17628,1304995.4,1350.8,176.0,3608.0
60-64,62.0,5,8724,652497.7,1337.0,87.0,1174.0
65+,75.0,11,14820,1022052.0,1450.0,148.0,74.0
