nom_alcaldia,nom_colonia,pob_colonia,pob_menores_estim,IVH,riesgo_infantil
MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),32538,7737.0,0.855,0.969
XOCHIMILCO,SAN GREGORIO ATLAPULCO (PBLO),31758,6395.0,0.758,0.702
MILPA ALTA,VILLA MILPA ALTA (PBLO),22891,5443.0,0.858,0.683
MILPA ALTA,SAN PABLO OZTOTEPEC (PBLO),20355,4840.0,0.834,0.589
XOCHIMILCO,SANTA CRUZ ACALPIXCA (PBLO),25353,5105.0,0.787,0.583
XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),22570,4545.0,0.796,0.526
TLALPAN,SAN MIGUEL TOPILEJO (PBLO),28008,5168.0,0.683,0.505
TLALPAN,SAN ANDRES TOTOLTEPEC (PBLO),27347,5046.0,0.697,0.504
MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),16837,4003.0,0.845,0.494
LA MAGDALENA CONTRERAS,SAN JERONIMO ACULCO - LIDICE (PBLO),23423,4481.0,0.738,0.477
IZTAPALAPA,LOMAS DE SAN LORENZO II,26104,5217.0,0.588,0.43
ALVARO OBREGON,SAN BARTOLO AMEYALCO (PBLO),24667,4421.0,0.667,0.42
MILPA ALTA,SAN PEDRO ATOCPAN (PBLO),14402,3424.0,0.839,0.419
XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),18025,3630.0,0.785,0.413
CUAJIMALPA DE MORELOS,SAN MATEO TLALTENANGO (PBLO),23623,4916.0,0.584,0.403
TLAHUAC,SAN PEDRO TLAHUAC (PBLO),18336,3928.0,0.704,0.397
XOCHIMILCO,SAN MARCOS (AMPL),17209,3465.0,0.788,0.396
XOCHIMILCO,SANTIAGO TEPALCATLALPAN (PBLO),17248,3473.0,0.78,0.393
TLAHUAC,SAN FRANCISCO TLALTENCO (PBLO),17494,3748.0,0.718,0.387
CUAJIMALPA DE MORELOS,SAN PEDRO CUAJIMALPA (PBLO),21092,4389.0,0.614,0.38
