rank,nom_alcaldia,nom_colonia,pob_colonia,IVH,score_priorizacion,causa_raiz,intervencion,casos_morbilidad_estimados,pob_menores_estim
1,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),32538,0.855,0.859,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),7272.7,7737.0
2,MILPA ALTA,VILLA MILPA ALTA (PBLO),22891,0.858,0.648,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),5116.4,5443.0
3,XOCHIMILCO,SAN GREGORIO ATLAPULCO (PBLO),31758,0.758,0.616,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),5066.7,6395.0
4,MILPA ALTA,SAN PABLO OZTOTEPEC (PBLO),20355,0.834,0.591,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),4549.6,4840.0
5,XOCHIMILCO,SANTA CRUZ ACALPIXCA (PBLO),25353,0.787,0.537,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),4044.8,5105.0
6,MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),16837,0.845,0.522,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),3763.3,4003.0
7,XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),22570,0.796,0.498,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),3600.8,4545.0
8,MILPA ALTA,SAN PEDRO ATOCPAN (PBLO),14402,0.839,0.466,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),3219.0,3424.0
9,XOCHIMILCO,SANTA MARIA NATIVITAS (PBLO),18025,0.785,0.436,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),2875.7,3630.0
10,XOCHIMILCO,SANTIAGO TEPALCATLALPAN (PBLO),17248,0.78,0.425,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),2751.7,3473.0
11,MILPA ALTA,SANTA ANA TLACOTENCO (PBLO),12412,0.825,0.416,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),2774.2,2951.0
12,XOCHIMILCO,SAN MARCOS (AMPL),17209,0.788,0.412,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),2745.5,3465.0
13,TLALPAN,SAN ANDRES TOTOLTEPEC (PBLO),27347,0.697,0.401,ambas,Intervención dual: red + planta (proyecto integral),2543.3,5046.0
14,TLALPAN,SAN MIGUEL TOPILEJO (PBLO),28008,0.683,0.399,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),2604.8,5168.0
15,XOCHIMILCO,NATIVITAS LA JOYA (AMPL),16013,0.717,0.381,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),2554.7,3225.0
16,XOCHIMILCO,SANTA CRUZ XOCHITEPEC (PBLO),14451,0.774,0.38,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),2305.5,2910.0
17,XOCHIMILCO,SAN LUCAS XOCHIMANCA (PBLO),12986,0.776,0.374,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),2071.8,2615.0
18,XOCHIMILCO,XALTOCAN (BARR),10717,0.813,0.372,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1709.8,2158.0
19,XOCHIMILCO,SAN ANDRES AHUAYUCAN (PBLO),15226,0.764,0.371,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),2429.1,3066.0
20,XOCHIMILCO,SANTA MARIA TEPEPAN (PBLO),14016,0.792,0.365,ambas,Intervención dual: red + planta (proyecto integral),2236.1,2822.0
21,XOCHIMILCO,SAN LUIS TLAXIALTEMALCO (PBLO),15418,0.7,0.364,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),2459.8,3105.0
22,XOCHIMILCO,SAN MATEO XALPA (PBLO),12700,0.764,0.344,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),2026.2,2557.0
23,XOCHIMILCO,SANTA CECILIA TEPETLAPA (PBLO),13438,0.783,0.34,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),2143.9,2706.0
24,XOCHIMILCO,SAN PEDRO (BARR),2918,0.782,0.33,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),465.5,588.0
25,XOCHIMILCO,SAN LORENZO ATEMOAYA (PBLO),10180,0.766,0.322,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1624.1,2050.0
26,TLAHUAC,SAN PEDRO TLAHUAC (PBLO),18336,0.704,0.322,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1272.0,3928.0
27,XOCHIMILCO,SAN LORENZO LA CEBADA I,10873,0.744,0.314,planta,Upgrade tecnológico planta (ósmosis o intercambio iónico),1734.7,2190.0
