id_colonia,nom_alcaldia,nom_colonia,n_fugas_predicho,riesgo_nivel,IVH
06-006,IZTACALCO,CUCHILLA AGRICOLA ORIENTAL,878.5,Crítico,0.5618
14-053,BENITO JUAREZ,DEL VALLE I,513.0,Crítico,0.211
16-042,MIGUEL HIDALGO,LOMAS DE CHAPULTEPEC I,345.3,Crítico,0.2934
17-076,VENUSTIANO CARRANZA,JARDIN BALBUENA I,343.2,Crítico,0.3872
03-139,COYOACAN,PEDREGAL DE STO DOMINGO I,313.6,Crítico,0.6396
12-158,TLALPAN,SAN NICOLAS II,290.0,Crítico,0.7587
05-063,GUSTAVO A. MADERO,GABRIEL HERNANDEZ,287.9,Crítico,0.4064
15-012,CUAUHTEMOC,EX HIPODROMO DE PERALVILLO,261.1,Crítico,0.3169
12-095,TLALPAN,MIGUEL HIDALGO,249.6,Crítico,0.7424
08-045,LA MAGDALENA CONTRERAS,SAN JERONIMO ACULCO - LIDICE (PBLO),229.1,Crítico,0.738
15-068,CUAUHTEMOC,ROMA NORTE I,229.0,Crítico,0.3341
14-060,BENITO JUAREZ,NARVARTE I,200.2,Crítico,0.2037
15-075,CUAUHTEMOC,SANTA MARIA LA RIBERA I,198.3,Alto,0.2993
05-129,GUSTAVO A. MADERO,NUEVA INDUSTRIAL VALLEJO (FRACC),197.9,Alto,0.4415
14-066,BENITO JUAREZ,PORTALES I,196.4,Alto,0.3471
03-003,COYOACAN,AJUSCO HUAYAMILPAS,176.4,Alto,0.6232
06-056,IZTACALCO,PANTITLAN I,164.8,Alto,0.5081
15-037,CUAUHTEMOC,CENTRO I,159.0,Alto,0.3224
15-050,CUAUHTEMOC,GUERRERO I,149.8,Alto,0.2935
15-045,CUAUHTEMOC,DOCTORES I,147.6,Alto,0.3203
07-289,IZTAPALAPA,SAN JUAN XALPA I,147.1,Alto,0.6354
05-242,GUSTAVO A. MADERO,SAN JUAN DE ARAGON 1A SECCION (U HAB) II,141.8,Alto,0.4152
12-157,TLALPAN,SAN MIGUEL TOPILEJO (PBLO),140.5,Alto,0.6833
10-091,ALVARO OBREGON,JARDINES DEL PEDREGAL,139.6,Alto,0.7057
04-006,CUAJIMALPA DE MORELOS,BOSQUES DE LAS LOMAS,136.7,Alto,0.3788
07-156,IZTAPALAPA,PARAJES BUENAVISTA (TETECON),134.6,Alto,0.6966
15-062,CUAUHTEMOC,OBRERA I,134.6,Alto,0.3066
