columna,pct_nulos,accion
CLAVE SITIO,0.0,KEEP
CLAVE DE MONITOREO,0.0,KEEP
NOMBRE DEL SITIO,0.0,KEEP
TIPO CUERPO DE AGUA,0.0,KEEP
FECHA REALIZACIÓN,0.0,KEEP
Año,0.0,KEEP
ALC_FEN,93.35,FLAG
ALC_TOT,92.82,FLAG
CO3,94.15,FLAG
HCO3,93.09,FLAG
OH,95.21,DROP
CLOROF_A,68.35,FLAG
COLI_FEC,1.6,KEEP
COLI_TOT,43.35,FLAG
E_COLI,9.04,IMPUTE
COT,11.17,IMPUTE
COT_SOL,15.96,IMPUTE
DBO_SOL,15.96,IMPUTE
DBO_TOT,7.71,IMPUTE
DQO_SOL,16.22,IMPUTE
DQO_TOT,8.51,IMPUTE
N_NH3,7.98,IMPUTE
N_NO2,7.18,IMPUTE
N_NO3,10.9,IMPUTE
N_ORG,8.78,IMPUTE
N_TOT,12.23,IMPUTE
N_TOTK,9.04,IMPUTE
TOX_D_48_UT,46.81,FLAG
TOX_D_48_SUP_UT,66.76,FLAG
TOX_D_48_FON_UT,88.83,FLAG
TOX_FIS_SUP_15_UT,66.76,FLAG
TOX_FIS_SUP_30_UT,84.31,FLAG
TOX_FIS_SUP_5_UT,77.39,FLAG
TOX_FIS_FON_15_UT,87.23,FLAG
TOX_FIS_FON_30_UT,92.82,FLAG
TOX_FIS_FON_5_UT,93.88,FLAG
TOX_V_15_UT,47.34,FLAG
TOX_V_30_UT,76.33,FLAG
TOX_V_5_UT,66.76,FLAG
AOXF,100.0,DROP
AOXP,100.0,DROP
AOXT,100.0,DROP
P_TOT,8.51,IMPUTE
PO4_TOT,92.02,FLAG
ORTO_PO4,10.9,IMPUTE
COLOR_VER,13.56,IMPUTE
TRANSPARENCIA,67.02,FLAG
ABS_UV,18.09,IMPUTE
SDT,2.66,KEEP
CONDUC_CAMPO,34.57,FLAG
CONDUC_CAMPO_SUP,66.22,FLAG
CONDUC_CAMPO_MED,91.22,FLAG
CONDUC_CAMPO_FON,93.09,FLAG
pH_CAMPO,34.31,FLAG
pH_CAMPO_SUP,68.62,FLAG
pH_CAMPO_MED,93.88,FLAG
pH_CAMPO_FON,94.41,FLAG
SALINIDAD_SUP,100.0,DROP
SALINIDAD_MED,100.0,DROP
SALINIDAD_FON,100.0,DROP
OD_%,53.72,FLAG
OD_mg/L,50.27,FLAG
OD_%_SUP,70.48,FLAG
OD_mg/L_SUP,70.48,FLAG
OD_%_MED,94.41,FLAG
OD_mg/L_MED,94.41,FLAG
OD_%_FON,95.21,DROP
OD_mg/L_FON,95.21,DROP
"1,1,1,2_TTCETA",96.28,DROP
"1,1,2,2_TETRACLETAN",96.28,DROP
"1,1,2_TCETA",96.28,DROP
"1,1_DICLETILEN",96.28,DROP
"1,2,4_TRICLBENCEN",96.54,DROP
"1,2_DIBR_3_CLPROPAN",96.28,DROP
"1,2_DICLETAN",96.28,DROP
"1,2_DICLPROPAN",96.28,DROP
"1,2_DIFENILHIDRACINA",100.0,DROP
1_C_NAF,100.0,DROP
"2,3_DICLOROFENOL_DCF",100.0,DROP
"2,4,5_T",100.0,DROP
"2,4,5_TRICLOROFENOL",100.0,DROP
"2,4,6_TRICLFENOL",100.0,DROP
"2,4_D_D_C_FENOXIACETICO",100.0,DROP
"2,4_DICLFENOL",100.0,DROP
"2,4_DIMETILFEN",100.0,DROP
"2,4_DINITOL",100.0,DROP
"2,4_DNF",100.0,DROP
"2,6_DINTOL",100.0,DROP
2_CEVE,96.28,DROP
2_CF,100.0,DROP
2_CLNAFT,100.0,DROP
2_NIFENOL,100.0,DROP
4_BRFENFENETER,100.0,DROP
4_NITROFENOL,100.0,DROP
ACENAF,100.0,DROP
ACENAFTIL,100.0,DROP
ANTRA,100.0,DROP
BEN_A_ANT,100.0,DROP
BEN_A_PIR,100.0,DROP
BEN_B_FANT,100.0,DROP
"BEN_G,H,I_PER",100.0,DROP
BEN_K_FANT,100.0,DROP
CRISENO,100.0,DROP
DIBEN_ANT,100.0,DROP
FENANTRENO,100.0,DROP
FLUORANTENO,100.0,DROP
FLUORENO,100.0,DROP
IND_PIR,100.0,DROP
NAFTALENO,100.0,DROP
PIRENO,100.0,DROP
HAPS,100.0,DROP
ACRILONITRILO,96.28,DROP
ACROLEINA,96.28,DROP
AL_TOT,99.47,DROP
ALACLOR,100.0,DROP
ALDICARB,100.0,DROP
ALDRIN,100.0,DROP
ATRAZINA,100.0,DROP
B_TOT,100.0,DROP
B2_ETILHEXIL_FTALATO,100.0,DROP
BA_TOT,99.47,DROP
BE_TOT,100.0,DROP
BENCENO,96.01,DROP
BENCIDINA,100.0,DROP
BIS2_CLETETER,100.0,DROP
BIS2_CLIOISOPET,100.0,DROP
BOLSTAR,100.0,DROP
BPCS,100.0,DROP
BR_CLMET,96.28,DROP
BROMOMETANO,96.28,DROP
CARBOFURANO,100.0,DROP
"CIS_1,2_DICLETEN",96.28,DROP
CL_BENC,96.28,DROP
CL_METILENO,96.28,DROP
CL_RES,100.0,DROP
CLORATALONIL,100.0,DROP
CLORDANO,100.0,DROP
CLOROMETANO,96.28,DROP
CLOROTOLURON,100.0,DROP
CLORPIRYFOS,100.0,DROP
CLORURO_DE_VINILO,96.28,DROP
CLORUROS_TOT,92.55,FLAG
COUMAFOS,100.0,DROP
CR_HEX,97.34,DROP
CYANACINA,100.0,DROP
DALAPON,100.0,DROP
DDD,100.0,DROP
DDE,100.0,DROP
DDT,100.0,DROP
DELTAMETRINA,100.0,DROP
DEMETON_S,100.0,DROP
