clave_sitio,clave_de_monitoreo,nombre_del_sitio,tipo_cuerpo_de_agua,fecha_realización,año,alc_fen,alc_tot,co3,hco3,clorof_a,coli_fec,coli_tot,e_coli,cot,cot_sol,dbo_sol,dbo_tot,dqo_sol,dqo_tot,n_nh3,n_no2,n_no3,n_org,n_tot,n_totk,tox_d_48_ut,tox_d_48_sup_ut,tox_d_48_fon_ut,tox_fis_sup_15_ut,tox_fis_sup_30_ut,tox_fis_sup_5_ut,tox_fis_fon_15_ut,tox_fis_fon_30_ut,tox_fis_fon_5_ut,tox_v_15_ut,tox_v_30_ut,tox_v_5_ut,p_tot,po4_tot,orto_po4,color_ver,transparencia,abs_uv,sdt,conduc_campo,conduc_campo_sup,conduc_campo_med,conduc_campo_fon,ph_campo,ph_campo_sup,ph_campo_med,ph_campo_fon,od__,od_mg_l,od___sup,od_mg_l_sup,od___med,od_mg_l_med,cloruros_tot,fe_tot,mn_tot,saam,so4_tot,sst,triclorofluorometano,turbiedad,as_tot,cd_tot,cr_tot,hg_tot,ni_tot,pb_tot,cn_tot,pot_redox_campo_fon,pot_redox_campo_med,pot_redox_campo_sup,ca_tot,dur_tot,temp_amb,temp_agua,temp_agua_sup,temp_agua_med,temp_agua_fon,temp_agua_0_5,temp_agua_1,temp_agua_2,profundidad,caudal,nombre_del_sitio_sitio,estado,latitud,longitud,clasificacion_cdmx,temp_amb_raw,temp_agua_raw,fecha_realizacion
DLGUE1341,DLGUE1341-211012,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,LÓTICO,41199,2012.0,,,,,,2755,24196,30,4.3818,4.1484,,,,,<0.0035,<0.005,0.2641,0.3,0.5641,0.3,<1,,,,,,,,,<1,<1,<1,0.875,,<0.0015,55,,,,,,,,7.9,,,,79.2,6,,,,,,,,,,40,,37,0.005,<0.001301,<0.0012,0.0018,<0.00042,<0.00154,,,,,,117.02,27.7,31.149599999999992,,,,,,,,6511,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,MICHOACÁN DE OCAMPO,18.36854,-100.67169,cutzamala_rio,27.7,36.0,
DLGUE1341,DLGUE1341-210413,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,LÓTICO,41382,2013.0,,,,,,20,31,20,5.6,4.6,4,12,<10,33.75,0.24,0.18,0.075,0.24,0.735,0.48,<1,,,,,<1,,,,<1,<1,,0.0138,,<0.0015,,,,311.68,487,,,,7.45,,,,118.03,8.67,,,,,,,,,,35,,4,<0.0015,<0.001301,<0.0012,0.0016,<0.00042,<0.00154,,,,,,147.53,36.0,28.92,,,,,,,,4409.31,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,MICHOACÁN DE OCAMPO,18.36854,-100.67169,cutzamala_rio,36.0,28.92,
DLGUE1341,DLGUE1341-131013,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,LÓTICO,41558,2013.0,,,,,,19863,>24196,15531,7.418,6.971,2.13,3.33,42.984,50.148,0.121,0.01,0.564,1.094,1.7890000000000001,1.215,<1,,,,,,,,,2.34,2.77,,0.373,,0.044,100,,0.126,170.88,267,,,,8.72,,,,118.3,,,,,,,,,0.22,,440,,250,<0.0015,<0.001301,0.035,0.001,0.021,<0.00154,,,,,,182.094,29.1,28.0,,,,,,,,34560,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,MICHOACÁN DE OCAMPO,18.36854,-100.67169,cutzamala_rio,29.1,28.0,
DLGUE1341,DLGUE1341-090214,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,LÓTICO,41681,2014.0,,,,,,>24196,>24196,4611,14.7,9.45,3,14,16,41,0.17,0.01,0.18,0.2,0.56,0.37,<1,,,,,,,,,<1,<1,,0.11,,0.03,7.5,,0.084,240,375,,,,7.55,,,,105.2,8.52,,,,,,,,0.067,,14.3,,5.3,<0.0015,<0.001301,<0.0012,9.5e-05,<0.00042,<0.00154,0.03,,,,,206,30.0,29.3,,,,,,,,8646,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,MICHOACÁN DE OCAMPO,18.36854,-100.67169,cutzamala_rio,30.0,29.3,
DLGUE1341,DLGUE1341-300314,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,LÓTICO,41718,2014.0,,,,,,19863,>24196,233,2.067,1.887,3.6,5.1,15.26,51.73,0.337,0.013,0.298,0.242,0.89,0.579,<1,,,,,,,,,<1,<1,,0.137,,0.061,5,,0.106,270.72,423,,,,8.2,,,,97.8,6.9,,,,,,,,0.167,,<10,,2.7,<0.0015,<0.001301,<0.0012,0.00014,<0.00042,<0.00154,0.004,,,,,176,30.5,30.1,,,,,,,,6343,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,MICHOACÁN DE OCAMPO,18.36854,-100.67169,cutzamala_rio,30.5,30.1,
DLGUE1341,DLGUE1341-110514,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,LÓTICO,41821,2014.0,,,,,,1500,>2400,150,8.16,6.12,<2,2.7,17.7,95.56,0.103,0.04,0.07,0.352,0.565,0.45499999999999996,<1,,,,,,,,,<1,,<1,1.045,,0.455,190,,0.17,182.4,285,,,,8.0,,,,,,,,,,,,,0.15,,545,,280,0.0053,<0.001301,<0.0012,0.0009,<0.00042,<0.00154,<0.001,,,,,160,30.0,27.9,,,,,,,,4927465,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,MICHOACÁN DE OCAMPO,18.36854,-100.67169,cutzamala_rio,30.0,27.9,
DLGUE1341,DLGUE1341-220614,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,LÓTICO,41856,2014.0,,,,,,1500,>2400,150,3.648,2.697,<2,2.4,<10,<10,0.124,0.03,0.73,0.235,1.119,0.359,<1,,,,,,,,,<1,,<1,0.117,,0.106,41,,0.12,129.92000000000002,203,,,,8.1,,,,91.1,6.8,,,,,,,,<0.01,,100,,35,0.0037,<0.001301,<0.0012,0.0035,<0.00042,<0.00154,<0.001,,,,,106,31.0,28.8,,,,,,,,4409.3,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,MICHOACÁN DE OCAMPO,18.36854,-100.67169,cutzamala_rio,31.0,28.8,
DLGUE1341,DLGUE1341-280517,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,LÓTICO,42887,2017.0,,,,,,>24196,>24196,15531,3.417,3.315,<2,4.26,<10,<10,0.29113,0.00975,0.20942,0.24633,0.7566299999999999,0.53746,<1,,,,,,,,,<1,<1,,0.17113,,0.15315,10,,0.077,318.72,498,,,,7.8,,,,85.3,6.3,,,,,,,,0.058,,10.5,,8.1,<0.0015,<0.001301,0.0049,<0.0002013,<0.00042,<0.00154,0.0014,,,,,177.79,29.0,29.6,,,,,,,,,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,MICHOACÁN DE OCAMPO,18.36854,-100.67169,cutzamala_rio,29.0,29.6,
DLGUE1343,DLGUE1343-100313,LAS QUERENDAS (RIO CUTZAMALA),LÓTICO,41337,2013.0,,,,,,<3,20,<3,2.7,2.68,6,18,16.3,47.21,0.36,0.093,<0.031,0.24,0.693,0.6,<1,,,,,<1,,,,<1,<1,,<0.0014,<0.00306,0.03,34,,,246.4,385,,,,8.09,,,,98.55,7.44,,,,,,,,,,20,,<2.5,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,,,,,,356.04,32.0,28.3,,,,,,,,18593.73,LAS QUERENDAS (RIO CUTZAMALA),GUERRERO,18.371503,-100.629106,cutzamala_rio,32.0,28.3,
DLGUE1343,DLGUE1343-210413,LAS QUERENDAS (RIO CUTZAMALA),LÓTICO,41379,2013.0,,,,,,5172,5794,428,6.44,4.49,4,12,20.45,50.02,0.3,0.905,0.3792,0.24,1.8242,0.54,<1,,,,,<1,,,,<1,<1,,<0.0014,<0.00306,<0.0015,22,,,310.40000000000003,485,,,,7.85,,,,95.7,6.61,,,,,,,,,,25,,<2.5,<0.0015,<0.001301,<0.0012,0.0041,<0.00042,<0.00154,,,,,,130.7,36.0,31.149599999999992,,,,,,,,3258.22,LAS QUERENDAS (RIO CUTZAMALA),GUERRERO,18.371503,-100.629106,cutzamala_rio,36.0,31.29,
DLGUE1343,DLGUE1343-020613,LAS QUERENDAS (RIO CUTZAMALA),LÓTICO,41449,2013.0,,,,,,3255,9804,189,<0.103,<0.103,12,34,22.83,66.33,3.81,0.047,1.0275,1.49,6.3745,5.3,<1,,,,,,,,,,,,<0.0014,<0.00306,<0.0015,320,,,253.44,396,,,,7.82,,,,117.63,8.45,,,,,,,,,,139,,140,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,0.008,,,,,,166.8,36.0,30.02,,,,,,,,20774.91,LAS QUERENDAS (RIO CUTZAMALA),GUERRERO,18.371503,-100.629106,cutzamala_rio,40.0,30.02,
DLGUE1343,DLGUE1343-131013,LAS QUERENDAS (RIO CUTZAMALA),LÓTICO,41557,2013.0,,,,,,>24196,>24196,11199,6.054,3.091,2.17,2.53,27.86,50.944,0.104,0.017,0.861,1.409,2.391,1.5130000000000001,<1,,,,,,,,,<1,<1,,0.394,,0.031,125,,0.122,182.4,285,,,,8.6,,,,,,,,,,,,,0.254,,335,,197.5,<0.0015,0.001,0.025,0.002,0.016,<0.00154,<0.001,,,,,147.312,31.6,28.1,,,,,,,,81592,LAS QUERENDAS (RIO CUTZAMALA),GUERRERO,18.371503,-100.629106,cutzamala_rio,31.6,28.1,
DLGUE1343,DLGUE1343-031113,LAS QUERENDAS (RIO CUTZAMALA),LÓTICO,41581,2013.0,,,,,,14136,>24196,10462,8.338,3.022,2.43,3.31,29.088,43.632,0.154,0.015,0.751,0.559,1.479,0.7130000000000001,<1,,,,,,,,,<1,<1,,0.229,,0.042,100,,0.153,188.16,294,,,,7.93,,,,56.5,4.44,,,,,,,,0.35,,185,,140,<0.0015,<0.001301,0.014,,0.016,<0.00154,<0.001,,,,,142.936,25.1,27.0,,,,,,,,80926,LAS QUERENDAS (RIO CUTZAMALA),GUERRERO,18.371503,-100.629106,cutzamala_rio,25.1,27.0,
DLGUE1343,DLGUE1343-090214,LAS QUERENDAS (RIO CUTZAMALA),LÓTICO,41681,2014.0,,,,,,14136,15531,144,12.288,12.288,4.35,11.85,12.18,52.78,0.126,0.005,0.228,0.164,0.523,0.29000000000000004,<1,,,,,,,,,<1,<1,,0.085,,0.037,7.5,,0.081,209.28,327,,,,7.83,,,,119.4,9.37,,,,,,,,0.024,,15.25,,3.6,<0.0015,<0.001301,<0.0012,<0.0002013,<0.00042,<0.00154,0.042,,,,,174.81,30.0,28.69,,,,,,,,27244.5,LAS QUERENDAS (RIO CUTZAMALA),GUERRERO,18.371503,-100.629106,cutzamala_rio,30.0,28.69,
DLGUE1343,DLGUE1343-110514,LAS QUERENDAS (RIO CUTZAMALA),LÓTICO,41821,2014.0,,,,,,>24000,>2400,>2400,5.92,5.88,2.8,3.1,10.62,94.67,0.131,0.04,0.08,0.312,0.563,0.443,<1,,,,,,,,,<1,,<1,0.578,,0.107,240,,0.19,183.04,286,,,,7.8,,,,,,,,,,,,,0.09,,590,,290,<0.0015,<0.001301,<0.0012,0.001,<0.00042,<0.00154,<0.001,,,,,110,31.0,27.6,,,,,,,,18593.7,LAS QUERENDAS (RIO CUTZAMALA),GUERRERO,18.371503,-100.629106,cutzamala_rio,31.0,27.6,
DLGUE1343,DLGUE1343-220614,LAS QUERENDAS (RIO CUTZAMALA),LÓTICO,41856,2014.0,,,,,,>24000,>2400,>2400,3.63,2.858,<2,2.2,<10,<10,0.129,<0.005,0.68,1.115,1.924,1.244,<1,,,,,,,,,<1,,<1,0.226,,0.119,38,,0.11,131.2,205,,,,8.2,,,,96.8,7.3,,,,,,,,0.07,,76,,29,0.0038,<0.001301,<0.0012,0.0072,<0.00042,<0.00154,<0.001,,,,,123,32.0,28.9,,,,,,,,9051.8,LAS QUERENDAS (RIO CUTZAMALA),GUERRERO,18.371503,-100.629106,cutzamala_rio,32.0,28.9,
DLGUE1343,DLGUE1343-140615,LAS QUERENDAS (RIO CUTZAMALA),LÓTICO,42248,2015.0,,,,,,4600,11000,2400,3.829,3.659,<2,2.31,29.29,45,0.149,0.028,0.429,1.029,1.6349999999999998,1.178,<1,,,,,,,,,<1,,<1,0.379,,0.152,250,,0.408,120.32000000000001,188,,,,7.8,,,,55.1,4.39,,,,,,,,0.08,,400,,455,<0.0015,<0.001301,0.0176,<0.0002013,0.0141,0.0263,<0.001,,,,,102,28.3,27.6,,,,,,,,,LAS QUERENDAS (RIO CUTZAMALA),GUERRERO,18.371503,-100.629106,cutzamala_rio,28.3,27.6,
