clave_entidad,entidad,clave_municipio,municipio,cve_alcaldia,anio,periodo,grupo,poblacion,pobreza_porcentaje,carencia_calidad_espacios_vivienda_porcentaje,ingreso_inferior_a_lpi_porcentaje
9,Ciudad de México,9002,Azcapotzalco,002,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",86146,33.560905,5.716876,46.75825
9,Ciudad de México,9003,Coyoacán,003,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",110711,37.442645,5.571868,50.530831
9,Ciudad de México,9004,Cuajimalpa de Morelos,004,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",49710,43.110548,9.453873,54.066137
9,Ciudad de México,9005,Gustavo A. Madero,005,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",254802,43.871534,6.754873,58.530852
9,Ciudad de México,9006,Iztacalco,006,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",82971,34.726554,6.547934,44.929632
9,Ciudad de México,9007,Iztapalapa,007,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",443974,54.076244,10.386795,65.957247
9,Ciudad de México,9008,La Magdalena Contreras,008,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",56366,53.079847,10.409826,66.664466
9,Ciudad de México,9009,Milpa Alta,009,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",47599,64.399736,16.296118,69.650633
9,Ciudad de México,9010,Álvaro Obregón,010,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",165477,48.893756,9.30672,61.914121
9,Ciudad de México,9011,Tláhuac,011,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",102215,52.363167,9.303345,63.059504
9,Ciudad de México,9012,Tlalpan,012,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",175810,52.16636,10.972972,60.479017
9,Ciudad de México,9013,Xochimilco,013,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",113044,59.611967,15.61681,68.480453
9,Ciudad de México,9014,Benito Juárez,014,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",55099,13.487136,5.763101,18.101501
9,Ciudad de México,9015,Cuauhtémoc,015,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",96457,34.084975,7.127371,41.97109
9,Ciudad de México,9016,Miguel Hidalgo,016,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",69122,21.519958,4.105372,28.638467
9,Ciudad de México,9017,Venustiano Carranza,017,2020,2020-01-01,"Niñas, niños y adolescentes (0 a 17 años)",93572,41.318129,5.763101,53.16353
9,Ciudad de México,9002,Azcapotzalco,002,2015,2015-01-01,"Niñas, niños y adolescentes (0 a 17 años)",89934,25.74872,5.642014,37.251477
9,Ciudad de México,9003,Coyoacán,003,2015,2015-01-01,"Niñas, niños y adolescentes (0 a 17 años)",121323,29.676047,6.046267,38.159772
9,Ciudad de México,9004,Cuajimalpa de Morelos,004,2015,2015-01-01,"Niñas, niños y adolescentes (0 a 17 años)",54443,38.256946,7.943407,45.541761
9,Ciudad de México,9005,Gustavo A. Madero,005,2015,2015-01-01,"Niñas, niños y adolescentes (0 a 17 años)",301555,36.747704,6.610667,49.216862
9,Ciudad de México,9006,Iztacalco,006,2015,2015-01-01,"Niñas, niños y adolescentes (0 a 17 años)",84875,24.767303,2.988736,30.852659
9,Ciudad de México,9007,Iztapalapa,007,2015,2015-01-01,"Niñas, niños y adolescentes (0 a 17 años)",528204,43.881988,9.027721,52.610469
9,Ciudad de México,9008,La Magdalena Contreras,008,2015,2015-01-01,"Niñas, niños y adolescentes (0 a 17 años)",74702,40.090478,9.272168,52.031366
9,Ciudad de México,9009,Milpa Alta,009,2015,2015-01-01,"Niñas, niños y adolescentes (0 a 17 años)",49912,55.722066,13.334421,61.341862
9,Ciudad de México,9010,Álvaro Obregón,010,2015,2015-01-01,"Niñas, niños y adolescentes (0 a 17 años)",197212,36.792061,7.934071,46.645889
