entidad,nom_ent,mun,nom_mun,loc,nom_loc,latitud,longitud,altitud,tamloc,pobtot,pob0_14,pob15_64,pob65_mas,vivtot,tvivparhab,vph_aguadv,vph_aguafv,vph_tinaco,vph_cister,vph_drenaj,vph_nodren,vph_c_serv,vph_excsa,cve_alcaldia
9,Ciudad de México,002,Azcapotzalco,1,Azcapotzalco,19.484102777777778,-99.18436055555556,2244,12.0,432205,70366.0,306611.0,54863.0,149381,134168.0,133597.0,239.0,107591.0,84062.0,133748.0,87.0,133511.0,133572.0,002
9,Ciudad de México,003,Coyoacán,1,Coyoacán,19.35021388888889,-99.16214555555555,2247,13.0,614447,91327.0,432544.0,90448.0,208024,191517.0,191053.0,133.0,154811.0,114453.0,190986.0,182.0,190814.0,190834.0,003
9,Ciudad de México,004,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,19.35735027777778,-99.29979222222222,2780,11.0,186693,37821.0,133841.0,14922.0,56986,52524.0,52297.0,124.0,44923.0,21752.0,52288.0,104.0,52163.0,52233.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,10,Cruz Blanca,19.317785,-99.32401027777777,2982,3.0,728,199.0,498.0,31.0,224,192.0,189.0,3.0,171.0,25.0,182.0,10.0,181.0,160.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,20,San Lorenzo Acopilco,19.33100472222222,-99.32568166666667,2936,8.0,26042,6195.0,18194.0,1649.0,7357,6627.0,6554.0,71.0,6239.0,1966.0,6601.0,16.0,6530.0,6564.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,50,La Venta,19.334375555555553,-99.31021277777778,2862,2.0,486,109.0,341.0,36.0,128,124.0,124.0,0.0,105.0,11.0,124.0,0.0,124.0,123.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,54,Puerto las Cruces (Monte las Cruces),19.294861111111114,-99.34762111111111,3200,4.0,1233,316.0,868.0,46.0,367,323.0,312.0,5.0,290.0,42.0,309.0,4.0,304.0,301.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,55,Teopazulco,19.345925833333332,-99.32311527777777,2940,1.0,80,20.0,53.0,7.0,29,23.0,23.0,0.0,21.0,10.0,23.0,0.0,23.0,12.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,56,Valle de las Monjas,19.33856361111111,-99.29324222222222,2663,1.0,108,28.0,77.0,3.0,34,32.0,29.0,2.0,22.0,2.0,31.0,0.0,29.0,31.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,57,Prolongación Constitución,19.352650555555556,-99.32667194444444,2715,1.0,131,27.0,100.0,4.0,37,32.0,32.0,0.0,27.0,2.0,32.0,0.0,32.0,31.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,58,Paraje Río Borracho,19.349437777777776,-99.32823666666667,2692,1.0,80,21.0,57.0,2.0,28,21.0,21.0,0.0,19.0,9.0,21.0,0.0,21.0,21.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,59,El Zarco,19.293255000000002,-99.35439138888889,3141,1.0,24,4.0,18.0,2.0,9,9.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,9.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,62,Los Campesinos [Rancho],19.30500027777778,-99.34466277777777,3056,1.0,29,5.0,22.0,2.0,5,5.0,5.0,0.0,3.0,3.0,4.0,0.0,4.0,5.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,63,Santa Rosa,19.323321944444444,-99.29508055555556,2859,3.0,818,236.0,562.0,20.0,231,204.0,182.0,22.0,177.0,37.0,202.0,2.0,180.0,192.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,66,Santa Laura [Rancho],19.343551666666666,-99.31948277777778,2725,1.0,38,1.0,36.0,1.0,15,14.0,14.0,0.0,14.0,10.0,14.0,0.0,14.0,14.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,70,Punta Galicia,19.374896666666668,-99.3033725,2536,2.0,438,99.0,329.0,10.0,134,119.0,119.0,0.0,114.0,51.0,119.0,0.0,119.0,119.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,73,Los Aguacates,19.369901944444447,-99.31073194444444,2725,3.0,514,154.0,343.0,17.0,170,129.0,72.0,57.0,128.0,39.0,129.0,0.0,72.0,124.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,74,Punta Ahuatenco,19.36803,-99.30580083333334,2556,1.0,173,49.0,119.0,5.0,48,43.0,43.0,0.0,42.0,4.0,43.0,0.0,43.0,42.0,004
9,Ciudad de México,004,Cuajimalpa de Morelos,77,Coatzehuaya,19.350028611111114,-99.32536305555556,2822,1.0,28,10.0,16.0,2.0,6,5.0,5.0,0.0,4.0,0.0,4.0,1.0,4.0,3.0,004
9,Ciudad de México,005,Gustavo A. Madero,1,Gustavo A. Madero,19.482945277777777,-99.11347083333332,2230,14.0,1173351,212345.0,819397.0,141375.0,370297,340155.0,338900.0,755.0,290036.0,174056.0,339341.0,298.0,338541.0,338954.0,005
9,Ciudad de México,006,Iztacalco,1,Iztacalco,19.395901388888888,-99.09761277777777,2230,12.0,404695,69312.0,286131.0,49074.0,130175,117720.0,117352.0,93.0,99351.0,81344.0,117387.0,42.0,117263.0,117282.0,006
