nom_estado,cve_estado,nom_alcaldia,cve_alcaldia,nom_colonia,codigo_postal,nom_alcaldia_norm,nom_colonia_norm
Ciudad de México,09,Álvaro Obregón,010,San Ángel,01000,ALVARO OBREGON,SAN ANGEL
Ciudad de México,09,Álvaro Obregón,010,Los Alpes,01010,ALVARO OBREGON,LOS ALPES
Ciudad de México,09,Álvaro Obregón,010,Guadalupe Inn,01020,ALVARO OBREGON,GUADALUPE INN
Ciudad de México,09,Álvaro Obregón,010,Axotla,01030,ALVARO OBREGON,AXOTLA
Ciudad de México,09,Álvaro Obregón,010,Florida,01030,ALVARO OBREGON,FLORIDA
Ciudad de México,09,Álvaro Obregón,010,Campestre,01040,ALVARO OBREGON,CAMPESTRE
Ciudad de México,09,Álvaro Obregón,010,Tlacopac,01049,ALVARO OBREGON,TLACOPAC
Ciudad de México,09,Álvaro Obregón,010,Ex-Hacienda de Guadalupe Chimalistac,01050,ALVARO OBREGON,EX-HACIENDA DE GUADALUPE CHIMALISTAC
Ciudad de México,09,Álvaro Obregón,010,Altavista,01060,ALVARO OBREGON,ALTAVISTA
Ciudad de México,09,Álvaro Obregón,010,San Ángel Inn,01060,ALVARO OBREGON,SAN ANGEL INN
Ciudad de México,09,Álvaro Obregón,010,Chimalistac,01070,ALVARO OBREGON,CHIMALISTAC
Ciudad de México,09,Álvaro Obregón,010,Progreso Tizapan,01080,ALVARO OBREGON,PROGRESO TIZAPAN
Ciudad de México,09,Álvaro Obregón,010,Ermita Tizapan,01089,ALVARO OBREGON,ERMITA TIZAPAN
Ciudad de México,09,Álvaro Obregón,010,La Otra Banda,01090,ALVARO OBREGON,LA OTRA BANDA
Ciudad de México,09,Álvaro Obregón,010,Loreto,01090,ALVARO OBREGON,LORETO
Ciudad de México,09,Álvaro Obregón,010,Tizapan,01090,ALVARO OBREGON,TIZAPAN
Ciudad de México,09,Álvaro Obregón,010,Pólvora,01100,ALVARO OBREGON,POLVORA
Ciudad de México,09,Álvaro Obregón,010,La Conchita,01109,ALVARO OBREGON,LA CONCHITA
Ciudad de México,09,Álvaro Obregón,010,Belém de las Flores,01110,ALVARO OBREGON,BELEM DE LAS FLORES
Ciudad de México,09,Álvaro Obregón,010,El Capulín,01110,ALVARO OBREGON,EL CAPULIN
Ciudad de México,09,Álvaro Obregón,010,Ampliación El Capulín,01110,ALVARO OBREGON,AMPLIACION EL CAPULIN
Ciudad de México,09,Álvaro Obregón,010,Liberales de 1857,01110,ALVARO OBREGON,LIBERALES DE 1857
Ciudad de México,09,Álvaro Obregón,010,Acueducto,01120,ALVARO OBREGON,ACUEDUCTO
Ciudad de México,09,Álvaro Obregón,010,Cove,01120,ALVARO OBREGON,COVE
Ciudad de México,09,Álvaro Obregón,010,Hidalgo,01120,ALVARO OBREGON,HIDALGO
Ciudad de México,09,Álvaro Obregón,010,Las Américas,01120,ALVARO OBREGON,LAS AMERICAS
Ciudad de México,09,Álvaro Obregón,010,Ampliación Acueducto,01125,ALVARO OBREGON,AMPLIACION ACUEDUCTO
Ciudad de México,09,Álvaro Obregón,010,Paraíso,01130,ALVARO OBREGON,PARAISO
Ciudad de México,09,Álvaro Obregón,010,Molino de Santo Domingo,01130,ALVARO OBREGON,MOLINO DE SANTO DOMINGO
Ciudad de México,09,Álvaro Obregón,010,Real del Monte,01130,ALVARO OBREGON,REAL DEL MONTE
Ciudad de México,09,Álvaro Obregón,010,Reacomodo Pino Suárez,01139,ALVARO OBREGON,REACOMODO PINO SUAREZ
Ciudad de México,09,Álvaro Obregón,010,Bellavista,01140,ALVARO OBREGON,BELLAVISTA
Ciudad de México,09,Álvaro Obregón,010,José Maria Pino Suárez,01140,ALVARO OBREGON,JOSE MARIA PINO SUAREZ
Ciudad de México,09,Álvaro Obregón,010,Cristo Rey,01150,ALVARO OBREGON,CRISTO REY
Ciudad de México,09,Álvaro Obregón,010,Tolteca,01150,ALVARO OBREGON,TOLTECA
Ciudad de México,09,Álvaro Obregón,010,Bosque,01160,ALVARO OBREGON,BOSQUE
Ciudad de México,09,Álvaro Obregón,010,Isidro Fabela,01160,ALVARO OBREGON,ISIDRO FABELA
