consulta,match,score,decision,cve_alcaldia
CALLE JOSE SANCHEZ TRUJILLO,IGNACIO ALLENDE,47,no_match,002
AQUILES ELORDUY,AGUILERA,52,no_match,002
JUAN SARABIA,SAN SEBASTIAN,56,no_match,002
MEXICO CITY,SINDICATO MEXICANO DE ELECTRICISTAS,43,no_match,002
CALLE CLAVELINAS,LAS SALINAS,59,no_match,002
EL JAGUEY,EL JAGUEY-ESTACION PANTACO,51,no_match,002
CIUDAD DE MEXICO,SINDICATO MEXICANO DE ELECTRICISTAS,50,no_match,002
TREBOL,PETROLERA,53,no_match,002
SANTA MARIA MANINALCO,SANTA MARIA MALINALCO (PBLO),81,candidato,002
RANCHO ESMERALDA,EX-HACIENDA EL ROSARIO,47,no_match,002
TRABAJADORES DE PEMEX,TRABAJADORES DEL HIERRO,77,candidato,002
AVENIDA AQUILES SERDAN,SAN ALVARO,50,no_match,002
FORTUNATO ZUAZUA,LA RAZA,43,no_match,002
CAMPO ENCANTADO,CENTRO DE AZCAPOTZALCO,48,no_match,002
CALLE TEPETLAPA,PETROLERA (AMPL),51,no_match,002
CALLE LAURO VILLAR,SAN ALVARO,50,no_match,002
SALVADOR SANCHEZ COLIN,SAN SALVADOR XOCHIMANCA,62,no_match,002
MANUEL SALAZAR,ROSENDO SALAZAR (CONJ HAB),66,no_match,002
CALLE AZTECAS,SAN MATEO,45,no_match,002
LOS PASTORES,PASTEROS,60,no_match,002
ADRIAN CASTREJON,DEL MAESTRO,51,no_match,002
CALZADA AZCAPOTZALCO LA VILLA,VILLAS AZCAPOTZALCO (U HAB),75,candidato,002
RINCONADA DEL OLIVAR,DEL GAS,60,no_match,002
VICTOR HERNANDEZ,IGNACIO ALLENDE,51,no_match,002
PRIVADA VICTOR HERNANDEZ COVARRUBIAS,HOGAR Y SEGURIDAD/NUEVA SANTA MARIA,45,no_match,002
CALZADA SAN ISIDRO,SAN ALVARO,64,no_match,002
SEGUNDA PRIVADA DE MORELOS,SANTA CRUZ DE LAS SALINAS,50,no_match,002
PRIVADA 20 DE NOVIEMBRE,PEMEX PRADOS DEL ROSARIO (U HAB),47,no_match,002
RABAUL,ARENAL,50,no_match,002
BENITO JUAREZ,OBRERO POPULAR,51,no_match,002
2A. PRIVADA CAMARONES,PRESIDENTE MADERO (U HAB),47,no_match,002
3A. RIV. TULA,NUEVA SANTA MARIA,46,no_match,002
PRIMERA CERRADA CANDIDO NAVARRO,VICTORIA DE LAS DEMOCRACIAS,48,no_match,002
CANDIDO NAVARRO,IGNACIO ALLENDE,46,no_match,002
PETROLEOS MEXICANOS,POTRERO DEL LLANO,55,no_match,002
CALLE FRANCISCO JAVIER MINA,FRANCISCO VILLA (U HAB),60,no_match,002
CALLE 23,AGUILERA,37,no_match,002
FRANCISCO SANCHEZ,SAN FRANCISCO XOCOTITLA,70,candidato,002
AVENIDA AZCAPOTZALCO,CENTRO DE AZCAPOTZALCO,76,candidato,002
DIAZ DE VELAZCO,VICTORIA DE LAS DEMOCRACIAS,52,no_match,002
CALZADA DE LOS ANGELES,SAN ANDRES DE LAS SALINAS (PBLO),51,no_match,002
NIZA,ALDANA,40,no_match,002
GRECIA,LA PRECIOSA,58,no_match,002
FLORESTA,LA PRECIOSA,52,no_match,002
HOGAR Y SEGURIDAD,HOGAR Y SEGURIDAD/NUEVA SANTA MARIA,65,no_match,002
AVENIDA EL ROSARIO,EX-HACIENDA EL ROSARIO,80,candidato,002
PEREJIL,FERRERIA,53,no_match,002
CALLE CAMINO A NEXTENGO,NEXTENGO (BARR),69,no_match,002
AMANTECATL,SAN MATEO,52,no_match,002
MARIA LUGO,HOGAR Y SEGURIDAD/NUEVA SANTA MARIA,66,no_match,002
ROSAS MORENO,SAN MATEO,57,no_match,002
AVENIDA F.F.C.C. NACIONALES,IGNACIO ALLENDE,47,no_match,002
