codigo_postal,nom_colonia,cve_alcaldia,id_colonia
01000,San Ángel,010,10-192
01010,Los Alpes,010,10-010
01020,Guadalupe Inn,010,10-084
01030,Axotla,010,10-024
01030,Florida,010,10-073
01040,Campestre,010,
01049,Tlacopac,010,10-218
01050,Ex-Hacienda de Guadalupe Chimalistac,010,10-042
01060,Altavista,010,
01060,San Ángel Inn,010,10-193
01070,Chimalistac,010,10-042
01080,Progreso Tizapan,010,10-182
01089,Ermita Tizapan,010,
01090,La Otra Banda,010,10-108
01090,Loreto,010,10-145
01090,Tizapan,010,10-182
01100,Pólvora,010,10-174
01109,La Conchita,010,10-100
01110,Belém de las Flores,010,10-029
01110,El Capulín,010,10-059
01110,Ampliación El Capulín,010,10-059
01110,Liberales de 1857,010,10-121
01120,Acueducto,010,10-002
01120,Cove,010,10-049
01120,Hidalgo,010,10-070
01120,Las Américas,010,
01125,Ampliación Acueducto,010,10-002
01130,Paraíso,010,10-063
01130,Molino de Santo Domingo,010,10-159
01130,Real del Monte,010,10-189
01139,Reacomodo Pino Suárez,010,10-188
01140,Bellavista,010,10-031
01140,José Maria Pino Suárez,010,10-092
01150,Cristo Rey,010,10-050
01150,Tolteca,010,10-226
01160,Bosque,010,10-056
01160,Isidro Fabela,010,10-087
01160,Maria G. de García Ruiz,010,10-149
01160,1a Victoria,010,10-242
01170,Abraham M. González,010,10-001
01180,Carola,010,10-040
01180,8 de Agosto,010,10-161
01180,San Pedro de los Pinos,010,10-197
01200,Arturo Martínez,010,10-018
01210,Santa Fe,010,10-198
01219,Lomas de Santa Fe,010,10-140
01220,Bonanza,010,10-032
01220,Cuevitas,010,10-118
01220,El Cuernito,010,10-187
01220,Mártires de Tacubaya,010,10-150
01220,Zenón Delgado,010,10-239
01220,La Estrella,010,
01230,Campo de Tiro los Gamitos,010,10-035
01230,Los Gamitos,010,10-147
01230,Tlapechico,010,10-224
01230,El Piru Santa Fe,010,10-198
01230,El Piru 2a Ampliación,010,
01239,La Huerta,010,10-102
01240,Pueblo Nuevo,010,10-183
01250,El Árbol,010,10-054
01250,Ladera,010,10-113
01250,Lomas de Nuevo México,010,10-136
01250,Margarita Maza de Juárez,010,10-148
01250,Tecolalco,010,10-208
01259,Ampliación La Cebada,010,
01259,La Mexicana 2a Ampliación,010,10-106
01260,Calzada Jalalpa,010,10-034
01260,La Mexicana,010,10-106
01260,Ampliación La Mexicana,010,10-106
01260,La Palmita,010,10-109
01260,Liberación Proletaria,010,10-120
01269,1a Sección Cañada,010,10-096
01269,2a Sección Cañada,010,10-096
01270,El Tejocote,010,10-209
01270,La Presa,010,10-111
01270,Golondrinas,010,10-079
01270,Golondrinas 1a Sección,010,10-079
01270,Golondrinas 2a Sección,010,10-079
01270,Lomas de Capula,010,10-127
01275,Villa Solidaridad,010,10-237
01276,El Pirul,010,10-065
01278,Desarrollo Urbano,010,10-052
01279,Lomas de Becerra,010,10-124
01280,Arvide,010,10-019
01280,El Pocito,010,10-066
01280,Francisco Villa,010,10-074
01280,La Joya,010,10-103
01285,El Rodeo,010,10-067
01289,Reacomodo El Cuernito,010,10-187
01290,Piloto Adolfo López Mateos,010,10-171
01290,Presidentes,010,10-177
01296,Jalalpa Tepito 2a Ampliación,010,10-088
01296,Ampliación Jalalpa,010,10-088
01296,Jalalpa Tepito,010,10-090
01298,Ampliación Piloto Adolfo López Mateos,010,10-172
01299,1a Ampliación Presidentes,010,10-177
01299,2a Ampliación Presidentes,010,10-177
01310,San Gabriel,010,10-196
01320,Carlos A. Madrazo,010,
01330,Paseo de las Lomas,010,10-133
01340,Bejero del Pueblo Santa Fe,010,10-028
01376,Santa Fe,010,10-198
01376,Santa Fe Peña Blanca,010,10-198
01376,Santa Fe La Loma,010,10-104
01376,Santa Fe Centro Ciudad,010,10-198
01377,Jalalpa El Grande,010,10-089
01389,Santa Fe Tlayapaca,010,10-198
01400,Olivar del Conde 1a Sección,010,10-252
01400,Preconcreto,010,
01407,Galeana,010,10-075
01408,Olivar del Conde 2a Sección,010,10-254
01410,Barrio Norte,010,10-026
01410,Palmas,010,10-166
01419,Minas Cristo Rey,010,10-050
01420,Sacramento,010,
01420,Santa María Nonoalco,010,10-203
01430,Colina del Sur,010,10-044
01450,Hogar y Redención,010,10-086
01460,Alfonso XIII,010,10-009
01470,Alfalfar,010,10-008
01470,Molino de Rosas,010,10-157
01480,Lomas de Plateros,010,10-250
01490,La Cascada,010,10-097
01500,Santa Lucía,010,10-200
01500,Miguel Gaona Armenta,010,10-153
01509,Santa Lucía Chantepec,010,10-200
01510,Garcimarrero,010,10-076
01510,La Araña,010,10-095
01510,Los Cedros,010,10-146
01520,Ampliación Los Pirules,010,
01520,Estado de Hidalgo,010,10-071
01520,Ampliación Estado de Hidalgo,010,10-071
01520,Piru Santa Lucía,010,10-200
01520,El Politoco,010,10-015
01530,Corpus Christy,010,10-047
01538,Tepopotla,010,10-212
01539,Acuilotla,010,10-003
01539,Cooperativa Unión Olivos,010,10-233
01540,Balcones de Cehuayo,010,10-025
01540,Cehuaya,010,
01540,Llano Redondo,010,10-122
01540,Punta de Cehuaya,010,10-186
01548,Villa Progresista,010,10-236
01549,Dos Ríos del Pueblo Santa Lucía,010,10-053
01550,Tepeaca,010,10-210
01550,Ampliación Tepeaca,010,10-210
01550,Rinconada Las Cuevitas,010,10-118
01560,Ave Real,010,10-022
01560,Canutillo,010,10-038
01560,Canutillo 3a Sección,010,10-038
01560,Canutillo 2a Sección,010,10-038
01566,Hueytlale,010,
01569,Reacomodo Valentín Gómez Farías,010,10-235
01588,Tarango,010,10-033
01590,El Rincón,010,10-190
01600,Merced Gómez,010,10-151
01610,Colinas de Tarango,010,10-043
01610,Profesor J. Arturo López Martínez,010,10-018
01618,Arcos Centenario,010,10-016
01618,Ex-Hacienda de Tarango,010,
01619,La Martinica,010,10-105
01619,Rinconada de Tarango,010,10-051
01620,Lomas de Tarango,010,10-143
01630,Lomas de Puerta Grande,010,10-138
01630,Puerta Grande,010,10-138
01630,Los Juristas,010,10-093
01640,Herón Proal,010,10-085
01645,Ponciano Arriaga,010,10-175
01650,La Milagrosa,010,10-107
01650,Palmas Axotitla,010,10-167
01650,Tlacuitlapa,010,10-222
01650,Ampliación Tlacuitlapa,010,10-222
01650,2o Reacomodo Tlacuitlapa,010,10-222
01650,El Ruedo,010,10-068
01650,Santa Lucía Chantepec,010,10-200
01700,La Joyita del Pueblo Tetelpan,010,10-213
01700,Ocotillos del Pueblo Tetelpan,010,10-162
01700,San Agustín del Pueblo Tetelpan,010,10-213
01700,2a Del Moral del Pueblo Tetelpan,010,10-213
01700,Tecalcapa del Pueblo Tetelpan,010,10-213
01700,Tetelpan,010,10-213
01708,El Encino del Pueblo Tetelpan,010,10-213
01708,El Mirador del Pueblo Tetelpan,010,10-062
01710,Las Águilas,010,10-114
01710,Ampliación Alpes,010,10-010
01720,Lomas de Guadalupe,010,10-131
01729,Alcantarilla,010,10-007
01730,Lomas de las Águilas,010,10-133
01730,Puente Colorado,010,10-184
01740,La Peñita del Pueblo Tetelpan,010,10-213
01740,San Clemente Norte,010,10-195
01740,San Clemente Sur,010,10-195
01750,Las Águilas 1a Sección,010,10-114
01750,Las Águilas 2o Parque,010,10-114
01750,Las Águilas 3er. Parque,010,10-114
01759,Ampliación Las Águilas,010,10-114
01760,Atlamaya,010,10-021
01760,Flor de María,010,10-072
01760,La Herradura del Pueblo Tetelpan,010,10-101
01770,La Angostura,010,10-094
01770,San José del Olivar,010,
01780,Olivar de los Padres,010,10-163
01780,Tizampampano del Pueblo Tetelpan,010,10-213
01789,Miguel Hidalgo,010,10-154
01790,Lomas de los Ángeles del Pueblo Tetelpan,010,10-134
01790,Lomas de San Ángel Inn,010,10-139
01800,San Bartolo Ameyalco,010,10-194
01807,Rancho San Francisco Pueblo San Bartolo Ameyalco,010,10-194
01810,Villa Verdún,010,10-238
01820,Lomas Axomiatla,010,10-123
01820,Ejido San Mateo,010,
01830,Santa Rosa Xochiac,010,10-204
01840,Torres de Potrero,010,10-228
01849,Rincón de la Bolsa,010,10-190
01849,Rancho del Carmen del Pueblo San Bartolo Ameyalco,010,10-194
01857,Lomas de Chamontoya,010,10-130
01859,Tlacoyaque,010,10-219
01860,Lomas de La Era,010,10-132
01863,Lomas del Capulín,010,10-128
01870,Lomas de los Cedros,010,10-135
01900,Jardines del Pedregal,010,10-091
01904,San Jerónimo Aculco,010,
02000,Centro de Azcapotzalco,002,02-007
02010,Los Reyes,002,02-045
02010,San Rafael,002,02-086
02010,Nuevo Barrio San Rafael,002,02-086
02020,San Marcos,002,02-080
02020,Santo Tomás,002,02-099
02040,Del Maestro,002,02-017
02040,San Sebastián,002,02-088
02050,Libertad,002,02-044
02050,Santa María Malinalco,002,02-096
02060,Sindicato Mexicano de Electricistas,002,02-101
02060,Un Hogar Para Cada Trabajador,002,02-107
02070,Del Recreo,002,02-018
02070,Nextengo,002,02-049
02080,Clavería,002,02-008
02080,Sector Naval,002,02-100
02090,San Álvaro,002,02-070
02099,Ángel Zimbrón,002,02-005
02100,El Rosario,002,02-023
02120,San Martín Xochinahuac,002,02-081
02128,Nueva El Rosario,002,02-050
02129,Nueva España,002,02-051
02130,Tierra Nueva,002,02-103
02140,Santa Inés,002,02-094
02150,Pasteros,002,02-056
02160,Santo Domingo,002,02-098
02200,Reynosa Tamaulipas,002,02-067
02230,Santa Bárbara,002,02-090
02240,San Andrés,002,02-071
02250,Santa Catarina,002,02-091
02300,Industrial Vallejo,002,02-036
02310,Ferrería,002,02-028
02320,San Andrés de las Salinas,002,02-042
02330,Huautla de las Salinas,002,02-034
02340,Santa Cruz de las Salinas,002,02-093
02360,Las Salinas,002,02-042
02400,San Juan Tlihuaca,002,02-079
02410,Prados del Rosario,002,02-063
02420,Ex-Hacienda El Rosario,002,02-027
02440,Providencia,002,02-066
02459,Tezozomoc,002,02-102
02460,La Preciosa,002,02-040
02470,Ampliación Petrolera,002,02-059
02480,Petrolera,002,02-059
02490,San Mateo,002,02-082
02500,Unidad Cuitláhuac,002,
02519,El Jagüey,002,
02520,Estación Pantaco,002,
02530,Jardín Azpeitia,002,02-038
02600,Pro-Hogar,002,
02630,Coltongo,002,02-009
02640,Monte Alto,002,02-048
02650,Trabajadores de Hierro,002,02-106
02660,Euzkadi,002,02-026
