id_colonia,anio,n_fugas,cve_alcaldia,nom_alcaldia,nom_colonia,origen,pob_colonia,pct_aguadv,pct_drenaje,densidad_pob_por_vivienda,pobreza_pct_promedio,ingreso_lpi_pct_promedio,sitio_calidad_cercano,dist_sitio_km,pct_excede_nom_local,factor_riesgo_morbilidad,tasa_morbilidad_estimada_por_100k,antiguedad_red_proxy,dist_planta_km,planta_cercana_id,fugas_por_10k_hab
10-001,2018,2,010,ALVARO OBREGON,ABRAHAM GONZALEZ,iecm,459,99.54,99.6,3.46,37.67,48.76,OCAVM0010RNL21,6.15,0.0,0.794679736422145,3974.97,0.7997,10.42,PLANTA_006,43.57
10-001,2019,10,010,ALVARO OBREGON,ABRAHAM GONZALEZ,iecm,459,99.54,99.6,3.46,37.67,48.76,OCAVM0010RNL21,6.15,0.0,0.794679736422145,3974.97,0.7997,10.42,PLANTA_006,217.86
10-001,2020,5,010,ALVARO OBREGON,ABRAHAM GONZALEZ,iecm,459,99.54,99.6,3.46,37.67,48.76,OCAVM0010RNL21,6.15,0.0,0.794679736422145,3974.97,0.7997,10.42,PLANTA_006,108.93
10-001,2021,3,010,ALVARO OBREGON,ABRAHAM GONZALEZ,iecm,459,99.54,99.6,3.46,37.67,48.76,OCAVM0010RNL21,6.15,0.0,0.794679736422145,3974.97,0.7997,10.42,PLANTA_006,65.36
10-001,2022,4,010,ALVARO OBREGON,ABRAHAM GONZALEZ,iecm,459,99.54,99.6,3.46,37.67,48.76,OCAVM0010RNL21,6.15,0.0,0.794679736422145,3974.97,0.7997,10.42,PLANTA_006,87.15
10-001,2023,2,010,ALVARO OBREGON,ABRAHAM GONZALEZ,iecm,459,99.54,99.6,3.46,37.67,48.76,OCAVM0010RNL21,6.15,0.0,0.794679736422145,3974.97,0.7997,10.42,PLANTA_006,43.57
10-001,2024,0,010,ALVARO OBREGON,ABRAHAM GONZALEZ,iecm,459,99.54,99.6,3.46,37.67,48.76,OCAVM0010RNL21,6.15,0.0,0.794679736422145,3974.97,0.7997,10.42,PLANTA_006,0.0
10-002,2018,30,010,ALVARO OBREGON,ACUEDUCTO,iecm,3188,99.54,99.6,3.46,37.67,48.76,OCAVM0010RNL21,4.89,0.0,0.794679736422145,3974.97,0.7997,9.66,PLANTA_000,94.1
10-002,2019,13,010,ALVARO OBREGON,ACUEDUCTO,iecm,3188,99.54,99.6,3.46,37.67,48.76,OCAVM0010RNL21,4.89,0.0,0.794679736422145,3974.97,0.7997,9.66,PLANTA_000,40.78
10-002,2020,19,010,ALVARO OBREGON,ACUEDUCTO,iecm,3188,99.54,99.6,3.46,37.67,48.76,OCAVM0010RNL21,4.89,0.0,0.794679736422145,3974.97,0.7997,9.66,PLANTA_000,59.6
10-002,2021,29,010,ALVARO OBREGON,ACUEDUCTO,iecm,3188,99.54,99.6,3.46,37.67,48.76,OCAVM0010RNL21,4.89,0.0,0.794679736422145,3974.97,0.7997,9.66,PLANTA_000,90.97
10-002,2022,109,010,ALVARO OBREGON,ACUEDUCTO,iecm,3188,99.54,99.6,3.46,37.67,48.76,OCAVM0010RNL21,4.89,0.0,0.794679736422145,3974.97,0.7997,9.66,PLANTA_000,341.91
10-002,2023,55,010,ALVARO OBREGON,ACUEDUCTO,iecm,3188,99.54,99.6,3.46,37.67,48.76,OCAVM0010RNL21,4.89,0.0,0.794679736422145,3974.97,0.7997,9.66,PLANTA_000,172.52
10-002,2024,1,010,ALVARO OBREGON,ACUEDUCTO,iecm,3188,99.54,99.6,3.46,37.67,48.76,OCAVM0010RNL21,4.89,0.0,0.794679736422145,3974.97,0.7997,9.66,PLANTA_000,3.14
10-003,2018,0,010,ALVARO OBREGON,ACUILOTLA,iecm,1927,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,6.39,100.0,0.794679736422145,3974.97,0.7997,14.88,PLANTA_006,0.0
10-003,2019,3,010,ALVARO OBREGON,ACUILOTLA,iecm,1927,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,6.39,100.0,0.794679736422145,3974.97,0.7997,14.88,PLANTA_006,15.57
10-003,2020,0,010,ALVARO OBREGON,ACUILOTLA,iecm,1927,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,6.39,100.0,0.794679736422145,3974.97,0.7997,14.88,PLANTA_006,0.0
10-003,2021,6,010,ALVARO OBREGON,ACUILOTLA,iecm,1927,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,6.39,100.0,0.794679736422145,3974.97,0.7997,14.88,PLANTA_006,31.14
10-003,2022,5,010,ALVARO OBREGON,ACUILOTLA,iecm,1927,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,6.39,100.0,0.794679736422145,3974.97,0.7997,14.88,PLANTA_006,25.95
10-003,2023,2,010,ALVARO OBREGON,ACUILOTLA,iecm,1927,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,6.39,100.0,0.794679736422145,3974.97,0.7997,14.88,PLANTA_006,10.38
10-003,2024,1,010,ALVARO OBREGON,ACUILOTLA,iecm,1927,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,6.39,100.0,0.794679736422145,3974.97,0.7997,14.88,PLANTA_006,5.19
10-004,2018,56,010,ALVARO OBREGON,HACIENDA DE GUADALUPE CHIMALISTAC,iecm,1257,99.54,99.6,3.46,37.67,48.76,GCALNR00005,7.66,100.0,0.794679736422145,3974.97,0.7997,9.3,PLANTA_006,445.51
10-004,2019,27,010,ALVARO OBREGON,HACIENDA DE GUADALUPE CHIMALISTAC,iecm,1257,99.54,99.6,3.46,37.67,48.76,GCALNR00005,7.66,100.0,0.794679736422145,3974.97,0.7997,9.3,PLANTA_006,214.8
10-004,2020,4,010,ALVARO OBREGON,HACIENDA DE GUADALUPE CHIMALISTAC,iecm,1257,99.54,99.6,3.46,37.67,48.76,GCALNR00005,7.66,100.0,0.794679736422145,3974.97,0.7997,9.3,PLANTA_006,31.82
10-004,2021,51,010,ALVARO OBREGON,HACIENDA DE GUADALUPE CHIMALISTAC,iecm,1257,99.54,99.6,3.46,37.67,48.76,GCALNR00005,7.66,100.0,0.794679736422145,3974.97,0.7997,9.3,PLANTA_006,405.73
10-004,2022,0,010,ALVARO OBREGON,HACIENDA DE GUADALUPE CHIMALISTAC,iecm,1257,99.54,99.6,3.46,37.67,48.76,GCALNR00005,7.66,100.0,0.794679736422145,3974.97,0.7997,9.3,PLANTA_006,0.0
10-004,2023,0,010,ALVARO OBREGON,HACIENDA DE GUADALUPE CHIMALISTAC,iecm,1257,99.54,99.6,3.46,37.67,48.76,GCALNR00005,7.66,100.0,0.794679736422145,3974.97,0.7997,9.3,PLANTA_006,0.0
10-004,2024,0,010,ALVARO OBREGON,HACIENDA DE GUADALUPE CHIMALISTAC,iecm,1257,99.54,99.6,3.46,37.67,48.76,GCALNR00005,7.66,100.0,0.794679736422145,3974.97,0.7997,9.3,PLANTA_006,0.0
10-005,2018,56,010,ALVARO OBREGON,AGUILAS 3ER PARQUE,iecm,3832,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,5.86,100.0,0.794679736422145,3974.97,0.7997,12.73,PLANTA_006,146.14
10-005,2019,24,010,ALVARO OBREGON,AGUILAS 3ER PARQUE,iecm,3832,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,5.86,100.0,0.794679736422145,3974.97,0.7997,12.73,PLANTA_006,62.63
10-005,2020,9,010,ALVARO OBREGON,AGUILAS 3ER PARQUE,iecm,3832,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,5.86,100.0,0.794679736422145,3974.97,0.7997,12.73,PLANTA_006,23.49
10-005,2021,87,010,ALVARO OBREGON,AGUILAS 3ER PARQUE,iecm,3832,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,5.86,100.0,0.794679736422145,3974.97,0.7997,12.73,PLANTA_006,227.04
10-005,2022,29,010,ALVARO OBREGON,AGUILAS 3ER PARQUE,iecm,3832,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,5.86,100.0,0.794679736422145,3974.97,0.7997,12.73,PLANTA_006,75.68
10-005,2023,34,010,ALVARO OBREGON,AGUILAS 3ER PARQUE,iecm,3832,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,5.86,100.0,0.794679736422145,3974.97,0.7997,12.73,PLANTA_006,88.73
10-005,2024,1,010,ALVARO OBREGON,AGUILAS 3ER PARQUE,iecm,3832,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,5.86,100.0,0.794679736422145,3974.97,0.7997,12.73,PLANTA_006,2.61
10-006,2018,6,010,ALVARO OBREGON,AGUILAS PILARES,iecm,2010,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,6.94,100.0,0.794679736422145,3974.97,0.7997,10.96,PLANTA_006,29.85
10-006,2019,4,010,ALVARO OBREGON,AGUILAS PILARES,iecm,2010,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,6.94,100.0,0.794679736422145,3974.97,0.7997,10.96,PLANTA_006,19.9
10-006,2020,4,010,ALVARO OBREGON,AGUILAS PILARES,iecm,2010,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,6.94,100.0,0.794679736422145,3974.97,0.7997,10.96,PLANTA_006,19.9
10-006,2021,33,010,ALVARO OBREGON,AGUILAS PILARES,iecm,2010,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,6.94,100.0,0.794679736422145,3974.97,0.7997,10.96,PLANTA_006,164.18
10-006,2022,0,010,ALVARO OBREGON,AGUILAS PILARES,iecm,2010,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,6.94,100.0,0.794679736422145,3974.97,0.7997,10.96,PLANTA_006,0.0
10-006,2023,0,010,ALVARO OBREGON,AGUILAS PILARES,iecm,2010,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,6.94,100.0,0.794679736422145,3974.97,0.7997,10.96,PLANTA_006,0.0
10-006,2024,0,010,ALVARO OBREGON,AGUILAS PILARES,iecm,2010,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,6.94,100.0,0.794679736422145,3974.97,0.7997,10.96,PLANTA_006,0.0
10-007,2018,9,010,ALVARO OBREGON,ALCANTARILLA,iecm,855,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,4.18,100.0,0.794679736422145,3974.97,0.7997,15.77,PLANTA_006,105.26
10-007,2019,9,010,ALVARO OBREGON,ALCANTARILLA,iecm,855,99.54,99.6,3.46,37.67,48.76,SITIO NUEVO 1,4.18,100.0,0.794679736422145,3974.97,0.7997,15.77,PLANTA_006,105.26
