clave_sitio,nombre_del_sitio,cuenca,clave_acuifero,acuifero,organismo_cuenca,direccion_local,estado,municipio,cuerpo_de_agua,tipo_de_cuerpo_de_agua,subtipo_cuerpo_agua,latitud,longitud,estado_norm,es_cdmx,clasificacion_cdmx
DLGUE1341,CUTZAMALA AGUAS ABAJO DE ALTAMIRANO,RÍO MEDIO BALSAS,,,BALSAS,MICHOACÁN,MICHOACÁN DE OCAMPO,SAN LUCAS,RIO CUTZAMALA,LÓTICO,RÍO,18.36854,-100.67169,MICHOACAN DE OCAMPO,0,cutzamala_rio
DLGUE1343,LAS QUERENDAS (RIO CUTZAMALA),RÍO MEDIO BALSAS,,,BALSAS,GUERRERO,GUERRERO,PUNGARABATO,RIO CUTZAMALA,LÓTICO,RÍO,18.371503,-100.629106,GUERRERO,0,cutzamala_rio
DLGUE1391,LAGO DE TUXPAN 1,RÍO MEDIO BALSAS,,,BALSAS,GUERRERO,GUERRERO,IGUALA DE LA INDEPENDENCIA,LAGO DE TUXPAN,LÉNTICO,LAGO,18.367303,-99.49746,GUERRERO,0,cutzamala_tuxpan
DLGUE1392,LAGO DE TUXPAN 2,RÍO MEDIO BALSAS,,,BALSAS,GUERRERO,GUERRERO,IGUALA DE LA INDEPENDENCIA,LAGO DE TUXPAN,LÉNTICO,LAGO,18.358193,-99.481937,GUERRERO,0,cutzamala_tuxpan
OCAVM2685,SISTEMA LACUSTRE EJIDOS DE XOCHIMILCO Y SAN GREGORIO ATLAPULCO 2,XOCHIMILCO,,,AGUAS DEL VALLE DE MÉXICO,,CIUDAD DE MÉXICO,XOCHIMILCO,CUERPO DE AGUA DEL HUMEDAL,LÉNTICO (HUMEDAL),LAGO,19.2832,-99.079433,CIUDAD DE MEXICO,1,cdmx_local
OCAVM2686,POZO RN-11 AV. LEANDRO VALLE S/N. COL. DEL MAR,,901.0,ZONA METROPOLITANA DE LA CD. DE MEXICO,AGUAS DEL VALLE DE MÉXICO,,CIUDAD DE MÉXICO,XOCHIMILCO,ACUÍFERO ZONA METROPOLITANA DE LA CD. DE MEXICO,SUBTERRÁNEO,POZO,19.28548,-99.06975,CIUDAD DE MEXICO,1,cdmx_local
OCAVM2687,SISTEMA LACUSTRE EJIDOS DE XOCHIMILCO Y SAN GREGORIO ATLAPULCO 1,XOCHIMILCO,,,AGUAS DEL VALLE DE MÉXICO,,CIUDAD DE MÉXICO,XOCHIMILCO,CUERPO DE AGUA DEL HUMEDAL,LÉNTICO (HUMEDAL),LAGO,19.271862,-99.063868,CIUDAD DE MEXICO,1,cdmx_local
OCAVM2688,XOCHIMILCO 2,XOCHIMILCO,,,AGUAS DEL VALLE DE MÉXICO,,CIUDAD DE MÉXICO,XOCHIMILCO,XOCHIMILCO,LÉNTICO (HUMEDAL),LAGO,19.269833,-99.061922,CIUDAD DE MEXICO,1,cdmx_local
OCAVM2689,XOCHIMILCO 1,XOCHIMILCO,,,AGUAS DEL VALLE DE MÉXICO,,CIUDAD DE MÉXICO,XOCHIMILCO,XOCHIMILCO,LÉNTICO (HUMEDAL),LAGO,19.27117,-99.058343,CIUDAD DE MEXICO,1,cdmx_local
OCAVM2690,POZO RN-18E CAMINO DE OPERACION SUR-RAMAL NETZAHUALCOYOTL,,901.0,ZONA METROPOLITANA DE LA CD. DE MEXICO,AGUAS DEL VALLE DE MÉXICO,,CIUDAD DE MÉXICO,XOCHIMILCO,ACUÍFERO ZONA METROPOLITANA DE LA CD. DE MEXICO,SUBTERRÁNEO,POZO,19.27505,-99.0458,CIUDAD DE MEXICO,1,cdmx_local
OCAVM2691,LAGO LOS REYES,RÍO LA COMPAÑÍA,,,AGUAS DEL VALLE DE MÉXICO,,CIUDAD DE MÉXICO,TLÁHUAC,LAGUNA TLAHUAC,LÉNTICO,LAGO,19.266313,-99.006995,CIUDAD DE MEXICO,1,cdmx_local
OCAVM2763W1,CERRO DE LA ESTRELLA (A) AGUAS ARRIBA,CIUDAD DE MÉXICO,,,AGUAS DEL VALLE DE MÉXICO,,CIUDAD DE MÉXICO,IZTAPALAPA,"AREAS VERDES, INDUSTRIAL, ZONA AGRICOLA Y CHINAMPERA DE XOCHIMILCO Y TLAHUAC",LÓTICO,CANAL,19.3374,-99.079815,CIUDAD DE MEXICO,1,cdmx_local
OCAVM2764W1,CERRO DE LA ESTRELLA (A) AGUAS ABAJO,CIUDAD DE MÉXICO,,,AGUAS DEL VALLE DE MÉXICO,,CIUDAD DE MÉXICO,IZTAPALAPA,"AREAS VERDES, INDUSTRIAL, ZONA AGRICOLA Y CHINAMPERA DE XOCHIMILCO Y TLAHUAC",LÓTICO,CANAL,19.33625,-99.077327,CIUDAD DE MEXICO,1,cdmx_local
